503642998832242689;Sun Aug 24 20:40:22 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643001722118144;Sun Aug 24 20:40:23 +0000 2014;RT @VisitVineyards: This looks like quite a good summary of #Napa #earthquake damage to wineries &amp; other biz - could have been lots worse h…;Napa, earthquake, 
503643063450083328;Sun Aug 24 20:40:38 +0000 2014;RT @SJVGrapes: Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t…;napaearthquake, 
503643036996227073;Sun Aug 24 20:40:31 +0000 2014;RT @latimes: Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfo…;
503643144148099072;Sun Aug 24 20:40:57 +0000 2014;RT @nbcbayarea: #BREAKING All Napa Valley Unified School District schools will be closed tomorrow. http://t.co/ppkRaYb6Xs #napaquake;BREAKING, napaquake, 
503643112363671552;Sun Aug 24 20:40:49 +0000 2014;RT @nelson3748: “...earthquake in Napa...described as "vibrant and intense, but not overly flamboyant with a clean, earthy finish."” @JackH…;
503643033909202947;Sun Aug 24 20:40:31 +0000 2014;RT @myfoxla: Some injuries, damage, and power outages reported in 6.0 #earthquake centered 6 miles SSW of Napa. http://t.co/upYet3NeNL;earthquake, 
503643149374205952;Sun Aug 24 20:40:58 +0000 2014;Strong Magnitude 6 Earthquake Rocks San Francisco Bay Area « CBS San Francisco http://t.co/6Ce0dolJFN @CBSLA @KNX1070;
503643056629768192;Sun Aug 24 20:40:36 +0000 2014;RT @nbcbayarea: #NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co…;NapaQuake, 
503643027076694016;Sun Aug 24 20:40:29 +0000 2014;Wall-2-Wall live coverage on Napa earthquake on all but 2 stations. Truly worrisome are the jolted gas lines—undetected cracks c/b anywhere.;
503643010127499264;Sun Aug 24 20:40:25 +0000 2014;True story lol #napa #earthquake #earthquake2014 #california http://t.co/3k1tZ83Ob2;napa, earthquake, earthquake2014, california, 
503643011990183936;Sun Aug 24 20:40:25 +0000 2014;6.0 magnitude quake Shake California-Napa ?

 http://t.co/oQFOgpI1Zz;
503643117308764160;Sun Aug 24 20:40:51 +0000 2014;RT @SFGate: #Napaquake update: More than 100 people injured, 6 of whom are in critical condition. http://t.co/24Db832o4U http://t.co/qo73jW…;Napaquake, 
503642976976113664;Sun Aug 24 20:40:17 +0000 2014;RT @Mullin_Around: We now have more than 100 photos of #earthquake damage from Napa: http://t.co/2t4PIFsDty Tons of coverage on @SFGate htt…;earthquake, 
503643105485004800;Sun Aug 24 20:40:48 +0000 2014;Napa Valley Earthquake: Not too shaken, just a little stirred in Sonoma County: I terrible pun, I know, but ac... http://t.co/NYOn03jyOf;
503643128994086912;Sun Aug 24 20:40:53 +0000 2014;RT @CTVCalgary: California earthquake: Bay area hardest-hit in 25 years http://t.co/wAev3X8JOB http://t.co/1z3GpDv87a;
503643096567926784;Sun Aug 24 20:40:46 +0000 2014;6.0 earthquake shakes Northern California: The USGS says its the largest earthquake to shake the Bay Area sinc... http://t.co/X0ydrLeyFO;
503643080005013505;Sun Aug 24 20:40:42 +0000 2014;Napa official: 15 to 16 buildings not inhabitable after quake, limited access to many o (from @AP) http://t.co/fBjpS96ooV;
503643128931565568;Sun Aug 24 20:40:53 +0000 2014;RT @CBCMartina: Tonight @CBCTWTW: CA #quake; remembering #JamesFoley; a journo freed in Syria; #Pooh is 100.  CBC R1 at 6 pm ET/MT/CT/PT, 7…;quake, JamesFoley, Pooh, 
503643109620588544;Sun Aug 24 20:40:49 +0000 2014;RT @severestudios: Napa area Winery--
RT @DavidSilverOak: Earthquake at @SilverOak http://t.co/Dwdrvv5Af6;
503643136636506112;Sun Aug 24 20:40:55 +0000 2014;The latest from AP reporters on scene after California earthquake causes damage, injuries http://t.co/J6i8nIb2Tn;
503643042926977025;Sun Aug 24 20:40:33 +0000 2014;RT @nelson3748: “...earthquake in Napa...described as "vibrant and intense, but not overly flamboyant with a clean, earthy finish."” @JackH…;
503643138968133632;Sun Aug 24 20:40:56 +0000 2014;RT MT Cal OES @Cal_OES @CaltransHQ has deployed dive teams to Bay Area toll bridges for #Napa quake #napaquake;Napa, napaquake, 
503642988522647552;Sun Aug 24 20:40:20 +0000 2014;RT @washingtonpost: Photos: Powerful earthquake shakes Northern California http://t.co/TkbLXYXrMZ http://t.co/sNWkFLBZzA;
503643033280462848;Sun Aug 24 20:40:31 +0000 2014;RT @allovergirl: No golf courses were harmed MT. @iResistAll Obama released this graphic on the #earthquake in Napa via FEMA http://t.co/Xb…;earthquake, 
503643016653860864;Sun Aug 24 20:40:27 +0000 2014;RT @vickydnguyen: Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.…;nbcbayarea, 
503643018906570752;Sun Aug 24 20:40:27 +0000 2014;RT @dudleystorey: The essence of being human: skaters explore upside to Napa quake damage. cc @GreatDismal http://t.co/LzekB7RBYr;
503643095204782081;Sun Aug 24 20:40:45 +0000 2014;Chargers-49ers game still on after 6.1 earthquake in Bay Area: By Cindy Boren August 24 at 1:17 PM Follow @cin... http://t.co/jUoRSoORO1;
503643003508883458;Sun Aug 24 20:40:23 +0000 2014;RT @ABC7News: San Francisco Bay Area 6.0 earthquake injures at least 70, ignites fires, knocks out power. http://t.co/IfRhGiQMhT http://t.c…;
503642998664884225;Sun Aug 24 20:40:22 +0000 2014;6.0-magnitude earthquake hits Northern California http://t.co/m267OQmbRf #losangeles;losangeles, 
503643073335685120;Sun Aug 24 20:40:40 +0000 2014;RT @andria_borba: 1 of 30 water main breaks in Napa after the quake. It's the one that cause water pressure problems fighting the fire http…;
503643054327484418;Sun Aug 24 20:40:36 +0000 2014;RT @SFGate: Winemakers are surveying the damage following the #Napaquake. http://t.co/zJRWlPTM5P http://t.co/4ZAagS3dIc;Napaquake, 
503643127253450753;Sun Aug 24 20:40:53 +0000 2014;120 injured in 6.0 Napa Valley earthquake; some buildings uninhabitable http://t.co/KhsDGOko0S via @news10_ca;
503643044642848768;Sun Aug 24 20:40:33 +0000 2014;RT @Crypt0nymous: Choose the reasonable reaction:
State of Emergency declared after...
[✔️] -California earthquake.
[🚫] -death of unarmed t…;
503643146115223552;Sun Aug 24 20:40:57 +0000 2014;RT @News10_CA: #NapaEarthquake is causing some traffic concerns - http://t.co/aUShh6allG;NapaEarthquake, 
503643045305516033;Sun Aug 24 20:40:33 +0000 2014;RT @DailyMondo: A 6.0 Earthquake Just Hit Napa County And Here’s What It’s Looking Like - http://t.co/nLKtiivVX7 http://t.co/3yz44WD3f4;
503643093589958657;Sun Aug 24 20:40:45 +0000 2014;Wow.  6.0 earthquake causes injuries and freaks everyone out.  What will happen to California when the inevitable 9.0 strikes?;
503643000913006593;Sun Aug 24 20:40:23 +0000 2014;RT @abc7newsBayArea: Napa County officials are using a drone to assess damage at the top of buildings. #quake #SouthNapaQuake;quake, SouthNapaQuake, 
503642982189252608;Sun Aug 24 20:40:18 +0000 2014;BREAKING NEWS! THE REPUBLICANS HAVE BLAMED OBAMA FOR THE EARTHQUAKE IN CALIFORNIA!!(tgj) #cnn #foxnews #msnbc #snl #comedycentral #mtv #tmz;cnn, foxnews, msnbc, snl, comedycentral, mtv, tmz, 
503643124787609600;Sun Aug 24 20:40:52 +0000 2014;RT @vickydnguyen: Meadowbrook Lane in Napa-- skaters finding upside to quake damage. Photo from #nbcbayarea photog Jeremy Carroll http://t.…;nbcbayarea, 
503643029559734272;Sun Aug 24 20:40:30 +0000 2014;Great partners and great #napaquake response info: @Cal_OES @CaltransHQ @theCaGuard @CAL_FIRE @CHP_GoldenGate @femaregion9 @NapaPD;napaquake, 
503643098891575296;Sun Aug 24 20:40:46 +0000 2014;Dozens injured, 6 critically, after strong earthquake in California http://t.co/w1khUM7aCG;
503642996584513536;Sun Aug 24 20:40:22 +0000 2014;RT @AP: VIDEO: Earthquake triggers fires at Napa Valley mobile home park while disrupting water supply: http://t.co/IrZyTdWcEo;
503643081871089664;Sun Aug 24 20:40:42 +0000 2014;RT @sixbilliongods: People who aren't from California: "California aka earthquake land, whaT IF I DIE?"
Californians: "whoa wtf an earthqua…;
503643127132221440;Sun Aug 24 20:40:53 +0000 2014;California winemakers cleaning up after quake (from @AP) http://t.co/G54bdOzvfn;
503643077836546048;Sun Aug 24 20:40:41 +0000 2014;The latest on damaging earthquake in California (from @AP) http://t.co/ECtTL3sdJc;
503643229460262912;Sun Aug 24 20:41:17 +0000 2014;Big earthquake in Napa.Locals described it as "vibrant and intense, but not overly flamboyant with a clean, earthy finish.@alannadrasin;
503643227074080768;Sun Aug 24 20:41:17 +0000 2014;Sad day for so many reasons #earthquake #napa stole this one from Silver Oaks http://t.co/XrcCCCteui;earthquake, napa, 
503643244337451008;Sun Aug 24 20:41:21 +0000 2014;Worst earthquake in 25 years rocks California http://t.co/0armLv5HNY;
503643236267982850;Sun Aug 24 20:41:19 +0000 2014;RT @YourAnonNews: Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ;
503643176272265216;Sun Aug 24 20:41:05 +0000 2014;State of emergency declared after 6.0-magnitude quake hits California http://t.co/W4Ne9bNyjK http://t.co/tnzjALoc1L;
503643222598356992;Sun Aug 24 20:41:16 +0000 2014;Earthquake rattles, doesn't wreck Napa wineries - USA TODAY http://t.co/2uHaZ1DxKG;
503643158748880896;Sun Aug 24 20:41:00 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643233834893313;Sun Aug 24 20:41:18 +0000 2014;Dozens Injured In San Francisco Earthquake http://t.co/FQQHEC71Xv;
503643219885031424;Sun Aug 24 20:41:15 +0000 2014;Some beautiful pottery at Thomas Bartlett store in Napa was broken in earthquake. http://t.co/WMqvyGeNng;
503643168324071424;Sun Aug 24 20:41:03 +0000 2014;RT @MishaRN: Only in Napa. SECURE THE WINE!  #NAPAQuake http://t.co/VzdARNP4Ks;NAPAQuake, 
503643171352739842;Sun Aug 24 20:41:03 +0000 2014;RT @Cal_OES: .@CaltransHQ has deployed dive teams to Bay Area toll bridges for #Napa quake;Napa, 
503643156941111296;Sun Aug 24 20:41:00 +0000 2014;RT @NapaCoRedCross: If you smell gas, shut it off and evacuate. Call @PGE4Me at 1-800-743-5002. Don’t turn it back on without their help. #…;
503643168941015040;Sun Aug 24 20:41:03 +0000 2014;With #Jesus we can alter lives on earth and the hereafter. Speak life in your daily routine. #Napa  #EarthQuake #Supernatural  #TeamJesus;Jesus, Napa, EarthQuake, Supernatural, TeamJesus, 
503643212112994305;Sun Aug 24 20:41:13 +0000 2014;RT @mercnews: Napa earthquake: 6.1 quake hits Bay Area: Did you feel it? http://t.co/knoHgIeDAq;
503643227858030593;Sun Aug 24 20:41:17 +0000 2014;RT @JeffRanieri: This is what a 6.1 #earthquake did to some roads in #Napa @nbcbayarea @weatherchannel #BayAreaQuake http://t.co/Vocezt0scQ;earthquake, Napa, BayAreaQuake, 
503643220949991424;Sun Aug 24 20:41:15 +0000 2014;The latest on damaging earthquake in California: NAPA, Calif. (AP) — This is what Associated Press reporters o... http://t.co/nn70pAQXDU;
503643256409030657;Sun Aug 24 20:41:24 +0000 2014;Yikes! #BePrepared RT @GavinNewsom: Wow! Just some of the damage #NapaQuake had on the city &amp; its historic areas http://t.co/6Y6wHv2pJm;BePrepared, NapaQuake, 
503643208169967616;Sun Aug 24 20:41:12 +0000 2014;Emergency Preparedness Reminder Aug. 24, 2014:  NAPA 6.0 EARTHQUAKE SERVE AS IMPORTANT REMINDER TO GET PREPARE... http://t.co/sOr1uxpWv5;
503643181620015104;Sun Aug 24 20:41:06 +0000 2014;RT @nataliealund: Office and business space at Brown and Second streets appears close to toppling #napaquake @mercnews http://t.co/2ZPE29R6…;napaquake, 
503643190864257024;Sun Aug 24 20:41:08 +0000 2014;McCain Uses California Earthquake to Criticize Obama http://t.co/ntHfUZiZtw via @dailykos;
503643213979070465;Sun Aug 24 20:41:14 +0000 2014;Our town is just a MESS .... :( #napaearthquake;napaearthquake, 
503643235265576960;Sun Aug 24 20:41:19 +0000 2014;RT @troyhaydenfox10: What a shot of quake damage in Napa wine country. http://t.co/3zapEL8dJE;
503643164834803712;Sun Aug 24 20:41:02 +0000 2014;RT @HrzMatt: Literally the most California thing ever RT @vickydnguyen: Napa-- skaters finding upside to quake damage. http://t.co/cuRZfw4S…;
503643192734916608;Sun Aug 24 20:41:09 +0000 2014;Sending prayers to those affected by Napa &amp; SFO earthquake. Hoping for a swift recovery, rebuilding and healing.;
503643156668096513;Sun Aug 24 20:41:00 +0000 2014;RT @THV11: USGS: 6.0 earthquake shakes Northern #California http://t.co/IEPY1MOfFq #caeq http://t.co/dUxyzuHMoP;California, caeq, 
503643159239622656;Sun Aug 24 20:41:01 +0000 2014;RT @washingtonpost: Photos: Powerful earthquake shakes Northern California http://t.co/TkbLXYXrMZ http://t.co/sNWkFLBZzA;
503643239782420480;Sun Aug 24 20:41:20 +0000 2014;"@momen_mubasher: #Holocaust survivors pen open letter condemning #Israel’s #Gaza war http://t.co/mdcjfwqBs4" Not #Napa #earthquake;Holocaust, Israel, Gaza, Napa, earthquake, 
503643187903488000;Sun Aug 24 20:41:07 +0000 2014;RT @laura_nelson: Is your home earthquake ready? A good time to review these tips, from @latimes: http://t.co/VVWa4Hno29 #napaquake http://…;napaquake, 
503643237022564352;Sun Aug 24 20:41:19 +0000 2014;Worst earthquake in 25 years rocks California http://t.co/Gj52Qwk0r9;
503643205280468992;Sun Aug 24 20:41:12 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643204865236992;Sun Aug 24 20:41:11 +0000 2014;RT @AlSaracevic: Plenty of empty seats on this sad Sunday in the Bay Area. Lackluster game coupled with tragic Earthquake surely to blame. …;
503643240000540672;Sun Aug 24 20:41:20 +0000 2014;RT @SonyaLin1214: @LearnSomethlng PLEASE RETWEET #perspective this is #earthquake not #GazaUnderAttack by #israel Staysafe #napaquake   htt…;perspective, earthquake, GazaUnderAttack, israel, napaquake, 
503643216084602880;Sun Aug 24 20:41:14 +0000 2014;RT @latimes: Wineries and other businesses in Northern California's wine country assess damage after today's earthquake http://t.co/F8CZDfo…;
503643207486283776;Sun Aug 24 20:41:12 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643214834724864;Sun Aug 24 20:41:14 +0000 2014;RT @SolanoLibrary: City of Vallejo earthquake updates here http://t.co/rKZTKVUy3j;
503643175550861314;Sun Aug 24 20:41:05 +0000 2014;RT @CBSSacramento: California winemakers cleaning up after #NapaQuake http://t.co/kt4oGmF5E2 http://t.co/7EtIC17B0Y;NapaQuake, 
503643215950389249;Sun Aug 24 20:41:14 +0000 2014;The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...;
503643180508909570;Sun Aug 24 20:41:06 +0000 2014;RT @DavidClinchNews: "Anyone have an extra newspaper building we could borrow?" @NapaRegister office: #NapaQuake https://t.co/6Yv5kj17X7 ht…;NapaQuake, 
503643171775983616;Sun Aug 24 20:41:04 +0000 2014;RT @SJVGrapes: Wow! It'll be a real puzzle organizing that room. RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t…;napaearthquake, 
503643221218824192;Sun Aug 24 20:41:15 +0000 2014;RT @HALLWines: Our thoughts go out to the Napa Valley community after this mornings earthquake. ~ @kathrynwalthall;
503643253875286016;Sun Aug 24 20:41:23 +0000 2014;RT @BreakingNews: USGS: Magnitude 6.0 northern California quake is largest to shake Bay Area since 1989 Loma Prieta quake - @ABC7 http://t.…;
503643180412436480;Sun Aug 24 20:41:06 +0000 2014;RT @lcooney: “@sakacc: “@AlexJamesFitz: This is the most California thing https://t.co/LizqoXwzXi” &lt;awesome!”&lt; might as well post 'quake' c…;
503643162515349505;Sun Aug 24 20:41:01 +0000 2014;RT @MaMoosie: For the100 injured &amp; 6 critically in #NapaQuake I hope healing comes quickly. Truly a shocker &amp; shaker. Sad to see the damage…;NapaQuake, 
503643205879861250;Sun Aug 24 20:41:12 +0000 2014;RT @JeffreyGuterman: MT @vickydnguyen: Skater finds upside to #earthquake damage in #Napa. Photo by Jeremy Carroll. http://t.co/vujP2A9Np2 …;
503643166453825537;Sun Aug 24 20:41:02 +0000 2014;RT @CDCemergency: The quake in #Napa is a good reminder to review what to do during an #earthquake. http://t.co/F4djtncj4M;Napa, earthquake, 
503643214180392961;Sun Aug 24 20:41:14 +0000 2014;The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...;
503643183675219968;Sun Aug 24 20:41:06 +0000 2014;Fire erupts after quake rocks California wine country http://t.co/lEvaF1XXZi;
503643218278240256;Sun Aug 24 20:41:15 +0000 2014;The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...;
503643206219624450;Sun Aug 24 20:41:12 +0000 2014;Numerous Buildings Uninhabitable After Bay Area Earthquake http://t.co/VH0oq92Uxl;
503643159088218112;Sun Aug 24 20:41:01 +0000 2014;RT @TheTodayShow: A state of emergency has been declared after a 6.0 quake hit Napa Valley, #California. #napaquake updates on #Today9 http…;California, napaquake, Today9, 
503643209894211587;Sun Aug 24 20:41:13 +0000 2014;RT @MichaelChiklis: Hope everyone is okay up in the bay area! #earthquake #napaquake #Napa;earthquake, napaquake, Napa, 
503643197969424384;Sun Aug 24 20:41:10 +0000 2014;Dozens injured after California earthquake http://t.co/c2N6WQT2LB;
503643171327602689;Sun Aug 24 20:41:03 +0000 2014;"@FOX40: Napa Quake: Early Warning System Provided 10-Second Alert of 6.0 Earthquake http://t.co/5bQKYpDed2" Did The City feel it?? SF;
503643169402003456;Sun Aug 24 20:41:03 +0000 2014;RT @nbcbayarea: #NapaQuake Reaction: Tweets from people near the epicenter of this morning's earthquake. http://t.co/FyHOHpUbI4 http://t.co…;NapaQuake, 
503643198116225024;Sun Aug 24 20:41:10 +0000 2014;RT @10News: Napa officials: Numerous buildings uninhabitable after 6.0 earthquake http://t.co/mUb9evaqZu;
503643202125955073;Sun Aug 24 20:41:11 +0000 2014;Biggest Quake in 25 Years Spurs N. Calif. State of Emergency: Northern California was... http://t.co/xa9zKIvoox | http://t.co/LBQldyKgdp;
503643180756393984;Sun Aug 24 20:41:06 +0000 2014;Top storys: M6.0  - 6km NW of American Canyon, California 2014-08-24 10:20:44 U… http://t.co/DCoqnUnAP6, see more http://t.co/CMvgILHzHa;
503643216424357888;Sun Aug 24 20:41:14 +0000 2014;The latest on damaging earthquake in California: NAPA, Calif. (AP) ? This is what Associated Press reporters on the scene are learnin...;
503643187034853376;Sun Aug 24 20:41:07 +0000 2014;Strong California quake causes injuries, damage http://t.co/W0ocJcdQVw;
503643191061401601;Sun Aug 24 20:41:08 +0000 2014;The latest on damaging earthquake in California http://t.co/aZyraadTg7;
503643156358115328;Sun Aug 24 20:41:00 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643169524047873;Sun Aug 24 20:41:03 +0000 2014;RT @cbcnewsbc: California quake a reminder to expect B.C.'s 'Big One': After a magnitude 6.0 earthquake struck early Sunday m... http://t.c…;
503643250842796032;Sun Aug 24 20:41:22 +0000 2014;Worst earthquake in 25 years rocks California http://t.co/gdPGX4VejD;
503643204156006400;Sun Aug 24 20:41:11 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643288612913153;Sun Aug 24 20:41:31 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/Tqu1XuabWq |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643276654559233;Sun Aug 24 20:41:29 +0000 2014;RT @JLJP: Upvalley folks looking to do something to help? St Helena Hospital needs bottled H2O, can't use the tap. #napaearthquake;napaearthquake, 
503643337199718400;Sun Aug 24 20:41:43 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/cHnt8IXICk |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643287706931201;Sun Aug 24 20:41:31 +0000 2014;RT @matthiassonwine: Will be barrel pickup sticks #napaearthquake http://t.co/4WRYxfJ2vs;napaearthquake, 
503643280475582464;Sun Aug 24 20:41:29 +0000 2014;Some wineries suffered major damage in today's quake in Napa. Others little or none. This pic is from Etude. http://t.co/sR1hUc7hO2;
503643304039575552;Sun Aug 24 20:41:35 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/F7Bzz6bGHV |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643321412378624;Sun Aug 24 20:41:39 +0000 2014;How can you believe in a God so vengeful as to create an earthquake in Napa? #savethewine;savethewine, 
503643308460347392;Sun Aug 24 20:41:36 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/oGubrzSuHk |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643298657861632;Sun Aug 24 20:41:34 +0000 2014;The epicenter of this quake was also ~ the epicenter of the Napa wine industry. Will be interesting to see what's happened.;
503643289317552128;Sun Aug 24 20:41:32 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/x4GU4DTbt9 |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643330551775232;Sun Aug 24 20:41:41 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/4Hc6kIMW2z |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643323173969920;Sun Aug 24 20:41:40 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/ug9CheAgTC |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643321248395264;Sun Aug 24 20:41:39 +0000 2014;6.0 Napa Quake Is Largest California Earthquake In 25 Years!: http://t.co/BlGsaeIwcB via @YouTube;
503643263018872832;Sun Aug 24 20:41:25 +0000 2014;Lemonade RT @passantino: Napa streets turned skate park after 6.0 quake, via @vickydnguyen http://t.co/SvOSKb32Eb;
503643315548323840;Sun Aug 24 20:41:38 +0000 2014;RT @bgittleson: This photo is very California. #napa #earthquake http://t.co/ZChvmbR369;napa, earthquake, 
503643298310148097;Sun Aug 24 20:41:34 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/i9DZiaBzaw |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643306291896320;Sun Aug 24 20:41:36 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/VeEdL5928c |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
503643302130753536;Sun Aug 24 20:41:35 +0000 2014;RT @kuwaitculturela: CA Bay Area Students! If the earthquake affected you, pls contact the consulate hotline (310) 279-3644. @UCBerkeley ha…;
503643327632519168;Sun Aug 24 20:41:41 +0000 2014;Real time coverage of #Napa California #earthquake at http://napa http://t.co/VHDLAiri5V |  @allaboutnapa #napaquake;Napa, earthquake, napaquake, 
